Taxon,Seed or spore dispersal,Vectorization,Pollination,Clonal growth,Photosynthesis,Habit,Ornamental,Breeding system
,Wind (1) / Animal (0),Abiotic (1) / Biotic (0),Generalist (1) / Specialist (0),Present (1) / Absent (0),C3 (1) / CAM or C4 (0),Holoepiphyte (1) / Hemiepiphyte (0),Yes (1) / No (0),outcrossing (1) / selfing (0)
Anthurium_trinervium,0,0,1,0,1,1,0,NA
Asplenium,1,1,1,1,1,1,0,NA
Campylocentrum_micranthum,1,0,1,0,0,1,0,NA
Catopsis_nutans,1,0,1,1,1,1,0,NA
Encyclia_ceratistes,1,0,1,0,0,1,0,NA
Epidendrum_barbeyanum,1,0,0,0,0,1,0,NA
Epidendrum_oerstedii,1,0,0,0,0,1,1,NA
Epiphyllum_thomasianum,1,0,1,0,0,1,1,NA
Ficus_aurea,0,0,0,0,1,0,0,1
Ficus_costaricana,0,0,0,0,1,0,0,1
Ficus_pertusa,0,0,0,0,1,0,0,1
Guarianthe_skinneri,1,0,0,0,0,1,1,0
Hylocereus_costaricensis,0,0,0,0,0,1,1,NA
Hymenophyllum,1,1,1,0,1,1,0,NA
Maxillaria,1,0,0,0,0,1,0,NA
Monstera_deliciosa,0,0,1,1,1,0,1,NA
Peperomia_angularis,0,0,1,1,0,1,0,NA
Peperomia_galioides,0,0,1,1,0,1,0,NA
Philodendron_anisotomum,0,0,1,0,1,0,1,NA
Phlebodium,1,1,1,0,1,1,0,NA
Pitcairnia_heterophylla,1,0,0,1,1,1,0,0
Pleopeltis_sp1,1,1,1,1,1,1,0,NA
Pleopeltis_sp2,1,1,1,1,1,1,0,NA
Pleurothallis_racemiflora,1,0,0,0,1,1,0,NA
Polypodium,1,1,1,1,1,1,0,NA
Prosthechea_livida,1,0,1,0,0,1,0,NA
Pteridophyta,1,1,1,1,1,1,0,NA
Rhipsalis_micrantha,0,0,1,0,0,1,1,0
Scaphyglottis_micrantha,1,0,0,0,0,1,0,NA
Selenicereus_wercklei,0,0,1,0,0,1,0,NA
Tillandsia_caput-medusae,1,0,0,1,0,1,0,1
Tillandsia_fasciculata,1,0,0,1,0,1,0,0
Tillandsia_juncea,1,0,0,1,0,1,0,0
Tillandsia_schiedeana,1,0,0,1,0,1,0,0
Vittaria,0,1,1,0,1,1,0,NA
Werauhia,1,0,1,0,1,1,0,0