Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,Ornamental,Native/Exotic,lat,long,Tillandsia_schiedeana,Tillandsia_juncea,Pleopeltis_1,Tillandsia_fasciculata,Scaphyglottis_micrantha,Tillandsia_caput-medusae,Prosthechea_livida,Campylocentrum_micranthum,Epidendrum_barbeyanum,Asplenium,Pleurothallis_racemiflora,Polypodium,Vittaria,Phlebodium,Ficus_aurea,Ficus_costaricana,Peperomia_angularis,Catopsis_nutans,Hymenophyllum,Pteridophyta,Epidendrum_oerstedii,Pleopeltis_sp2,Hylocereus_costaricensis,Encyclia_ceratistes,Peperomia_galioides,Anthurium_trinervium,Monstera_deliciosa,Werauhia,Ficus_pertusa,Guarianthe_skinneri,Philodendron_anisotomum,Pitcairnia_heterophylla,Epiphyllum_thomasianum,Rhipsalis_micrantha,Selenicereus_wercklei,Maxillaria
Albizia_adinocephala__01,342.5,0.66,0,0.98,0,1,9.938000981,-84.04900398,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Annona_cherimola_01,401,0.511,0,0.98,1,1,9.937719014,-84.048102,0,4,16,0,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casuarina_cunninghamia_02,1313.8,0.698,0,0.68,1,0,9.935302008,-84.05263703,1,1,15,3,0,0,0,0,0,0,0,2,7,4,0,4,0,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Casuarina_cunninghamia_01,1202.9,0.698,0,0.7,1,0,9.93869802,-84.05185299,41,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_01,1907.7,0.447,0.33,0.77,0,1,9.936297024,-84.04990797,15,18,2,2,6,1,5,0,13,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cedrela_odorata_02,1592.6,0.447,0.33,0.8,0,1,9.936295012,-84.04996203,25,7,3,0,29,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_03,1948.5,0.447,0.33,0.8,0,1,9.936333988,-84.05002196,7,16,1,1,137,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedrela_odorata_04,2439.5,0.447,0.33,0.77,0,1,9.936325019,-84.05007804,13,19,2,3,12,0,34,0,11,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedrela_odorata_05,924.5,0.447,0.33,0.7,0,1,9.938036017,-84.05118998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_06,1674.6,0.447,0.33,0.7,0,1,9.937945995,-84.05125796,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_07,1065.3,0.447,0.33,0.83,0,1,9.937959993,-84.05129802,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrela_odorata_08,1239.3,0.447,0.33,0.95,0,1,9.938609004,-84.05152501,17,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_01,38.5,0.61,0.21,0.93,1,1,9.935748009,-84.05160396,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_02,108.6,0.61,0.17,0.93,1,1,9.93625503,-84.05062596,1,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_03,182,0.61,0.17,0.97,1,1,9.936400959,-84.05100499,2,1,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_04,119.5,0.61,0.17,0.99,1,1,9.936630037,-84.05029404,0,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cojoba_arborea_06,182.1,0.61,0.17,0.87,1,1,9.936212031,-84.04832102,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_07,214.8,0.61,0.17,0.97,1,1,9.93764299,-84.04863199,0,8,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conostegia_xalapensis_01,191.5,0.576,0,0.9,0,1,9.93500202,-84.05299896,9,10,70,7,11,0,7,27,6,0,0,2,3,3,2,1,0,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Cordia_eriostigma_01,1714.6,0.445,0,0.95,0,1,9.934577979,-84.05372299,0,24,2,11,0,0,0,2,8,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Cordia_eriostigma_02,717.2,0.445,0,1,0,1,9.936865987,-84.04891103,0,3,38,0,0,0,8,3,2,13,0,2,1,0,3,2,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delonix_regia_01,99.9,0.579,0.17,0.99,1,0,9.937456995,-84.04763203,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterolobium_cyclocarpum_01,1405.7,0.39,0.17,0.92,1,1,9.936858024,-84.05377102,4,17,33,0,0,6,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterolobium_cyclocarpum_02,960.4,0.39,0.17,0.97,1,1,9.938887032,-84.05036998,62,121,0,31,4,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_01,46,0.65,0.125,0.97,1,1,9.936919967,-84.04959599,3,3,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_02,53.2,0.65,0.125,0.94,1,1,9.937032033,-84.04954,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_03,81.5,0.65,0.125,0.95,1,1,9.937197994,-84.04967403,0,9,14,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_04,29.1,0.65,0.125,0.95,1,1,9.937246023,-84.04964302,0,4,10,0,0,1,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia_05,36.3,0.65,0.125,0.97,1,1,9.937321963,-84.04964603,0,5,14,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_benjamina_01,1437.7,0.459,0,0.97,1,0,9.935597973,-84.04984997,97,40,2,43,0,5,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ficus_costaricana_01,1427.6,0.377,0,0.98,0,1,9.93638101,-84.05138402,0,0,15,0,0,0,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_aurea_01,803,0.44,0.08,0.98,0,1,9.936419986,-84.04885302,6,83,21,38,7,4,16,1,8,30,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,1,0,0
Ficus_aurea_02,1569.3,0.44,0.08,0.97,0,1,9.937378038,-84.04944001,0,5,6,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus_aurea_03,1151.3,0.44,0.08,0.96,0,1,9.934878973,-84.05384,17,12,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Inga_01,171.2,0.498,0,0.97,0,1,9.936268022,-84.05092704,0,2,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacaranda_mimosifolia_01,94.4,0.49,0.29,0.95,1,0,9.938595006,-84.05205298,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacaranda_mimosifolia_02,106,0.49,0.29,0.97,1,0,9.938831041,-84.051667,4,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacaranda_mimosifolia_03,628.7,0.49,0.29,0.87,1,0,9.939090041,-84.05102402,94,124,3,49,0,20,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacaranda_mimosifolia_04,194.9,0.49,0.29,0.97,1,0,9.939131029,-84.05102704,149,24,6,31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacaranda_mimosifolia_05,395.7,0.49,0.29,0.93,1,0,9.937497983,-84.04779204,4,8,23,0,0,15,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagerstroemia_speciosa_01,538.5,0.595,0.21,0.83,1,0,9.937346019,-84.049611,41,17,38,24,49,0,0,8,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidambar_styraciflua_01,379.5,0.46,0,0.93,1,0,9.935360011,-84.05284901,0,0,17,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauria_heterophylla_01,1773.2,0.31,0.04,0.98,0,1,9.934982993,-84.05310801,23,7,0,11,3,0,10,2,7,0,0,3,11,10,1,3,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mauria_heterophylla_02,2876.1,0.31,0.04,0.92,0,1,9.935229002,-84.052804,1,0,26,0,2,0,0,14,0,0,0,5,27,2,1,0,0,1,9,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myroxylon_balsamum_01,574.5,0.776,0,0.87,0,1,9.937165976,-84.04971703,0,52,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachira_quinata_01,1421.8,0.415,0.33,0.83,0,1,9.936892977,-84.05275396,14,19,8,10,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persea_americana_01,96.7,0.549,0,0.98,1,0,9.936514031,-84.04899803,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pouteria_fossicola_01,1318.9,0.855,0,0.97,0,1,9.938040962,-84.05113902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spathodea_campanulata_01,672.7,0.351,0.08,0.97,1,0,9.938726015,-84.05120499,53,48,30,41,8,0,22,0,7,11,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Spathodea_campanulata_02,214.8,0.351,0.08,0.94,1,0,9.938791981,-84.05118898,58,18,16,5,0,0,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spathodea_campanulata_03,1192.4,0.351,0.08,0.98,1,0,9.937451966,-84.05226203,21,6,48,1,0,0,31,0,6,43,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondias_purpurea_01,297.7,0.33,0.25,0.97,0,1,9.938470032,-84.05233998,151,29,3,23,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondias_purpurea_02,181.3,0.33,0.25,0.93,0,1,9.938453017,-84.05247803,14,18,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondias_purpurea_03,169.6,0.33,0.25,0.93,0,1,9.938399037,-84.052588,51,37,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium_malaccense_01,749.4,0.562,0,0.99,1,0,9.933968028,-84.05441701,9,7,17,15,0,0,0,5,7,1,0,0,0,8,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
Tabebuia_ochracea_01,89.2,0.8,0.17,0.97,1,1,9.936070042,-84.05148402,2,16,32,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_01,656.9,0.531,0.42,0.83,1,1,9.937281981,-84.04948301,2,33,0,5,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_02,669.7,0.531,0.42,0.73,1,1,9.935712973,-84.04920196,47,28,8,5,4,5,2,0,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_03,498.2,0.531,0.42,0.73,1,1,9.935745997,-84.049093,48,41,20,4,9,8,2,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_04,317.3,0.531,0.42,0.73,1,1,9.935815986,-84.04905,15,24,18,2,2,1,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_05,961.2,0.531,0.42,0.73,1,1,9.936248995,-84.04946297,7,14,5,22,49,0,6,0,14,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_06,275,0.531,0.42,0.9,1,1,9.938424015,-84.05213404,13,21,6,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_07,285.2,0.531,0.42,0.83,1,1,9.939077972,-84.04986598,9,38,65,2,0,1,6,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tabebuia_rosea_08,365.9,0.531,0.42,0.95,1,1,9.939129017,-84.05108202,61,47,1,46,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_09,246,0.531,0.42,0.92,1,1,9.93548004,-84.05258004,2,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_10,361.8,0.531,0.42,0.93,1,1,9.936475977,-84.05092503,6,25,22,26,2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_11,51.9,0.531,0.42,1,1,1,9.936337005,-84.05088999,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapirira_mexicana_01,1167.3,0.47,0,0.8,0,1,9.936323008,-84.05124698,2,15,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thevetia_peruviana_01,32,0.41,0,0.98,1,0,9.935732,-84.05128897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_05,3276.9,0.61,0.17,0.9,1,1,9.93708903,-84.04950103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billia_rosea_01,88.5,0.69,0,1,0,1,9.937835019,-84.04969901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persea_amaricana_02,56.6,0.549,0,0.98,1,0,9.937683977,-84.04965299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0